  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      461        1.152        5.442            2      642.464      531.189      665.387
      462        1.116        5.462            3      645.789      502.794      669.730
      463        1.171        5.379            2      634.756      469.963      656.863
      464        1.129        5.446            3      641.758      478.936      677.593
      465        1.088        5.383            2      635.883      467.384      661.418
      466        1.265        5.434            1      651.157      518.330      680.934
      467        1.283        5.409            3      643.952      504.785      669.840
      468        1.175        5.410            2      642.223      495.094      666.195
      469        1.120        5.384            3      636.014      488.748      646.523
      470        1.128        5.485            2      645.765      480.754      674.392
      471        1.101        5.479            3      647.916      495.234      680.327
      472        1.092        5.426            2      639.324      490.432      669.230
      473        1.049        5.419            1      634.297      464.043      671.123
      474        1.215        5.433            3      647.988      499.768      678.917
      475        1.099        5.418            2      635.726      481.008      662.735
      476        1.196        5.454            3      648.592      511.144      684.615
      477        1.126        5.372            3      632.604      492.458      679.010
      478        1.158        5.456            3      645.284      527.652      681.651
      479        1.103        5.410            1      630.649      513.796      656.390
      480        1.124        5.437            2      644.552      527.278      677.620
      481        1.017        5.412            2      637.981      486.776      661.636
      482        1.135        5.442            2      643.519      516.718      662.523
      483        1.096        5.419            2      639.987      507.275      644.584
      484        1.173        5.389            2      630.552      483.356      658.980
      485        1.213        5.399            2      640.942      504.505      669.936
      486        1.158        5.403            3      637.402      514.206      652.438
      487        1.137        5.388            2      632.816      496.978      645.862
      488        1.028        5.448            3      641.122      501.095      653.284
      489        1.109        5.366            2      635.046      487.408      654.450
      490        1.106        5.466            2      645.371      494.870      657.711
      491        1.203        5.466            1      644.350      502.011      675.667
      492        1.186        5.428            3      643.727      507.604      663.256
      493        1.054        5.387            3      628.165      493.088      634.885
      494        1.196        5.367            3      634.021      486.436      656.306
      495        1.144        5.422            3      641.519      509.211      683.135
      496        1.161        5.428            2      645.992      534.592      682.031
      497        1.132        5.466            1      640.030      530.965      669.889
      498        1.008        5.439            2      644.379      524.412      683.718
      499        1.195        5.440            3      643.349      516.454      670.441
      500        1.146        5.410            3      642.589      511.250      663.354
      501        1.230        5.419            3      645.267      493.536      653.386
      502        1.197        5.472            2      644.960      540.060      692.150
      503        1.284        5.474            1      646.415      519.149      695.424
      504        1.144        5.447            4      648.524      515.023      677.318
      505        1.090        5.400            3      634.915      501.089      641.013
      506        1.154        5.456            4      643.580      536.031      646.644
      507        1.169        5.452            2      649.620      504.437      667.399
      508        1.134        5.435            2      640.703      512.883      654.871
      509        1.161        5.417            2      629.654      494.790      654.897
      510        1.115        5.426            2      639.535      517.815      673.215
