  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
       332      4.104           4.080           5.295           4.607
       333      4.066           4.046           5.316           4.603
       334      4.184           4.165           5.394           4.708
       335      4.137           4.117           5.379           4.679
       336      4.286           4.258           5.470           4.788
       337      4.358           4.339           5.530           4.857
       338      4.284           4.261           5.479           4.786
       339      4.318           4.299           5.529           4.831
       340      4.295           4.292           5.561           4.836
       341      4.357           4.342           5.591           4.884
       342      4.298           4.280           5.515           4.810
       343      4.162           4.147           5.438           4.722
       344      4.202           4.181           5.480           4.759
       345      4.217           4.193           5.482           4.760
       346      4.517           4.499           5.706           5.021
       347      4.558           4.536           5.789           5.084
       348      4.566           4.537           5.724           5.054
       349      4.615           4.591           5.786           5.114
       350      4.524           4.492           5.744           5.025
       351      4.442           4.426           5.637           4.947
       352      4.478           4.455           5.735           5.020
       353      4.641           4.630           5.836           5.152
       354      4.745           4.726           5.862           5.201
       355      4.606           4.586           5.772           5.092
       356      4.686           4.673           5.835           5.159
       357      4.613           4.591           5.792           5.097
       358      4.765           4.753           5.865           5.206
       359      4.705           4.688           5.790           5.127
       360      4.682           4.656           5.807           5.129
       361      4.879           4.856           5.995           5.312
       362      5.100           5.075           6.186           5.509
       363      5.101           5.072           6.178           5.500
       364      5.174           5.154           6.254           5.579
       365      5.143           5.116           6.233           5.554
       366      4.978           4.959           6.109           5.418
       367      5.158           5.140           6.242           5.557
       368      5.128           5.101           6.214           5.533
       369      5.211           5.173           6.311           5.619
       370      5.189           5.156           6.282           5.599
       371      5.204           5.172           6.270           5.598
       372      5.261           5.240           6.302           5.648
       373      5.309           5.287           6.289           5.654
       374      5.418           5.397           6.453           5.787
       375      5.389           5.373           6.447           5.776
       376      5.412           5.387           6.449           5.778
       377      5.315           5.288           6.390           5.714
       378      5.309           5.280           6.367           5.700
       379      5.170           5.146           6.267           5.579
       380      5.229           5.202           6.333           5.654
       381      4.929           4.907           6.102           5.404
       382      4.857           4.836           6.068           5.358
       383      4.880           4.856           6.069           5.365
       384      4.927           4.910           6.139           5.419
       385      4.779           4.759           5.994           5.277
       386      4.933           4.917           6.090           5.407
       387      4.898           4.888           6.082           5.381
       388      4.974           4.956           6.147           5.450
       389      4.785           4.761           5.979           5.276
       390      4.886           4.863           6.065           5.362
       391      4.867           4.844           6.038           5.338
       392      4.839           4.817           6.022           5.318
       393      4.950           4.924           6.125           5.429
       394      5.119           5.099           6.230           5.568
       395      4.963           4.937           6.091           5.409
       396      5.237           5.203           6.334           5.661
       397      5.170           5.140           6.284           5.615
       398      5.086           5.054           6.239           5.544
